  SN    |    MJD|f|  omag|_omag|  Phase
SN2015F |57127.0|u|16.741|0.012| 20.100
SN2015F |57129.1|u|16.903|0.014| 22.200
SN2015F |57130.1|u|16.998|0.015| 23.200
SN2015F |57131.1|u|17.091|0.016| 24.200
SN2015F |57134.0|u|17.264|0.018| 27.100
SN2015F |57135.0|u|17.299|0.015| 28.100
SN2015F |57136.0|u|17.348|0.016| 29.100
SN2015F |57137.0|u|17.423|0.016| 30.100
SN2015F |57138.1|u|17.484|0.020| 31.200
SN2015F |57139.0|u|17.501|0.015| 32.100
SN2015F |57141.1|u|17.584|0.019| 34.200
SN2015F |57143.1|u|17.626|0.021| 36.200
SN2015F |57146.1|u|17.766|0.035| 39.200
SN2015F |57148.0|u|17.787|0.029| 41.100
SN2015F |57152.1|u|17.938|0.015| 45.200
SN2015F |57154.0|u|17.931|0.037| 47.100
SN2015F |57157.0|u|18.047|0.020| 50.100
SN2015F |57159.0|u|18.098|0.020| 52.100
SN2015F |57161.1|u|18.102|0.021| 54.200
SN2015F |57163.0|u|18.186|0.020| 56.100
SN2015F |57176.0|u|18.449|0.038| 69.100
SN2015F |57178.0|u|18.526|0.032| 71.100
SN2015F |57180.0|u|18.648|0.052| 73.100
SN2015F |57182.0|u|18.552|0.048| 75.100
SN2015F |57092.1|g|16.671|0.009|-14.800
SN2015F |57093.1|g|16.024|0.007|-13.800
SN2015F |57094.0|g|15.511|0.008|-12.900
SN2015F |57095.1|g|15.057|0.009|-11.800
